rewardAC,¶ÜÊ×Ë®Æ½Æ«²î,¶ÜÖÐË®Æ½Æ«²î,¶ÜÎ²Ë®Æ½Æ«²î,¶ÜÊ×´¹Ö±Æ«²î,¶ÜÖÐ´¹Ö±Æ«²î,¶ÜÎ²´¹Ö±Æ«²î,time/s
23.5395,7.02,24.75,-0.9,13.59,18.19,21.01,6.1854263
229.479425,-6.6,-17.77,-24.54,14.53,17.91,19.95,20.7344121
-11.467775,-20.59,-11.68,-42.75,-14.52,-18.16,-20.38,7.9515567
43.75575,7.67,24.65,-1.27,12.14,18.79,19.64,8.3150358
570.37685,-7.4,-17.07,-22.98,16.86,17.9,18.53,36.8279385
-48.018925,12.21,18.25,19.08,-4.41,-16.6,-24.02,41.0719407
-36.574375,19.29,18.77,15.68,-1.88,-17.07,-26.35,28.2618676
-94.165425,-15.38,-11.57,-29.34,-6.84,-15.81,-24.46,41.0989557
-14.7440375,-15.65,-14.58,-34.02,-15.01,-17.55,-22.34,8.5450493
157.9479,8.83,25.91,-0.05,-0.85,-17.53,-27.71,20.7741633
321.08835,-0.65,25.87,5.56,18.47,18.78,15.75,23.1177142
232.445325,-3.68,25.71,7.17,2.04,-17.26,-29.03,22.1115155
-13.4977,-19.4,-11.58,-43.22,12.91,18.19,21.4,8.2207191
-13.50565,-19.4,-11.58,-43.12,13.17,18.17,21.23,8.2958879
-30.505075,-19.89,-11.22,-42.18,12.96,18.11,21.25,11.5912701
-35.8913875,-17.68,-13.26,-30.71,2.35,-16.49,-31.22,21.970817
647.52875,-11.16,-17.31,-21.06,12.74,17.46,20.33,41.133632
-23.7298875,-19.49,-11.4,-42.75,12.78,18.15,21.42,9.8979441
-18.7826,-19.51,-11.53,-43.07,13.83,18.14,20.78,9.1324267
113.5369,4.92,24.99,1.03,14.69,18.67,17.9,12.1551976
220.25755,6.11,25.5,1.02,17.91,18,18.06,17.9955793
233.226675,1.2,25.9,4.52,2.44,-17.31,-29.36,22.6427089
298.7367875,0.03,25.89,5.21,2.46,-17.27,-29.32,21.8010926
-15.5088875,-19.24,-11.58,-43.33,13.36,18.17,21.11,8.6165387
-41.523125,-23.03,-9.73,-38.16,2.72,-17.33,-29.57,22.4721113
644.02325,-11.73,-17.31,-20.67,12.81,17.41,20.23,41.1524665
-27.76765,-19.98,-11.39,-42.42,13.98,18.12,20.64,10.5692789
216.125825,1.53,25.8,4.19,2.41,-17.34,-29.4,23.0611828
119.28125,5.77,24.99,0.53,14.75,18.66,17.86,12.6214771
-57.5561625,-25.61,-9.53,-36.37,2.36,-17.15,-29.05,27.0691343
-45.7799375,-23.37,-9.74,-37.97,2.64,-17.34,-29.52,23.7497409
327.78435,4.3,26.15,2.87,21.55,18.14,16.06,24.0693775
61.0316,11.8,19.55,16.4,14.49,18.12,20.33,9.1832461
17.555325,10.54,18.42,20.51,5.23,-17.47,-31.34,20.1202392
58.00735,10.8,19.59,17.07,14.38,18.12,20.4,9.0170621
4.7579375,15.24,18.53,17.9,-8.86,-18.18,-23.9,12.1508438
644.75295,-11.22,-17.19,-20.78,12.48,17.32,20.29,41.0723576
0.67575,8.42,18.38,21.75,4.73,-17.52,-31.11,19.0997277
-39.2416875,-23.35,-9.97,-38.29,4.45,-17.46,-30.83,19.5213453
-5.05185,13.34,18.46,18.85,3.77,-17.22,-30.04,22.0086967
-44.338975,-23.92,-9.56,-37.41,3.07,-17.18,-29.54,22.3565598
60.82925,10.78,19.58,17.08,14.51,18.11,20.3,9.2525246
60.83025,10.78,19.59,17.08,14.97,18.1,20.01,9.4100056
608.1288,-11.22,-17.27,-20.97,13.04,17.46,20.16,41.0376807
-38.7189125,-23.12,-9.92,-38.36,4.63,-17.42,-30.88,20.1377409
-12.5227375,14.23,18.49,18.34,3.46,-17.13,-29.7,23.3100469
338.4191625,-0.79,25.94,5.75,3.81,-17.12,-29.89,23.3060121
648.1713,-10.77,-17.18,-21.1,12.21,17.34,20.47,41.1263075
69.4665,10.65,19.58,17.16,14.83,18.09,20.08,9.6699472
3.881525,4.7,18.16,23.64,4.77,-17.22,-30.65,21.8060398
604.9943,-11.51,-17.27,-20.79,13.04,17.43,20.11,41.0266521
-21.6055875,-19.84,-11.43,-42.7,14.88,18.1,20.06,9.4354072
218.41975,3.68,25.48,2.56,16.68,18.66,16.68,17.5500231
263.073525,0.3,25.97,5.11,4.16,-17.04,-29.97,23.3152923
647.18615,-11.4,-17.22,-20.72,12.69,17.35,20.21,41.1314559
-22.6390375,-20.32,-11.42,-42.28,15.2,18.09,19.85,9.6900145
598.67115,-11.41,-17.25,-20.81,12.68,17.38,20.25,41.1366427
14.7373,6.78,24.58,-0.97,-12.5,-18.26,-21.78,6.6631362
27.345125,13.96,18.57,18.73,-12.08,-18.16,-21.9,10.7538383
215.754025,0.8,26.04,4.92,3.95,-17.08,-29.91,23.2880275
116.49345,5.39,25.05,0.87,15.49,18.65,17.39,12.0951016
241.5785375,-5.12,17.69,28.86,3,-17.15,-29.45,23.1684089
-23.50605,-19.52,-11.44,-42.91,14.5,18.11,20.31,10.0795988
632.15685,-11.03,-17.22,-21.01,12.53,17.38,20.34,41.0186673
-15.1957,-21.89,-10.99,-40.67,-7.59,-18.17,-24.62,12.217737
233.393225,0.97,26.01,4.79,3.94,-17.12,-29.96,23.2180602
-18.178025,-12.78,-18.12,-21.34,14.92,18.06,19.94,9.9830044
-24.4987125,-19.91,-11.43,-42.66,13.57,18.14,20.92,10.0274096
235.1600375,0.66,25.99,4.91,4.14,-17.04,-29.96,23.1489623
570.90765,13.23,19.74,16.03,18.32,18.03,17.86,37.1230691
-38.4883125,-19.47,-10.9,-41.98,13.3,18.04,20.94,13.5070816
231.104225,0.67,26.03,4.98,3.92,-17.08,-29.9,23.1001663
-37.7699,-20.34,-10.98,-41.6,13.48,18.06,20.85,13.1560673
114.0483125,-3.92,17.77,28.26,6.58,-17.03,-31.46,23.2018206
-63.0461375,-16.06,-12.56,-30.7,3.02,-15.78,-30.49,28.2365979
17.63495,6.6,24.72,-0.73,13.03,18.23,21.43,6.8760528
-26.6793,-20.05,-11.34,-42.31,16.06,18.05,19.27,10.2334452
-45.6569375,-23.59,-9.55,-37.6,3.92,-17.15,-30.01,23.1605567
89.9775,10.66,19.57,17.15,16.08,18.05,19.25,10.8075311
83.9522,10.63,19.57,17.17,16.1,18.05,19.24,10.4636684
-27.58615,-19.68,-11.31,-42.47,15.22,18.07,19.81,10.440916
644.8018,-11.17,-17.19,-20.82,12.33,17.31,20.36,41.081932
-50.1984625,-23.69,-9.45,-37.42,4.74,-17.05,-30.34,23.1383669
162.0078375,1.61,26.07,4.47,4.98,-17.04,-30.47,22.8604677
116.633,5.09,25.06,1.06,16.21,18.64,16.93,12.1477621
-8.5208,11.49,18.37,19.81,4.45,-17.05,-30.17,23.2092862
-51.8594875,-18.51,-13.04,-29.91,5.03,-16.06,-32.16,24.7947315
-69.5467,-25.17,-8.93,-35.85,5.03,-16.6,-29.79,26.737095
200.3309,1.21,25.98,4.58,4.51,-17.06,-30.22,23.0646422
89.70285,10.69,19.56,17.13,16.49,18.03,18.98,10.703074
119.32465,5.07,25.09,1.13,16.67,18.63,16.64,12.3138966
643.79005,-11.5,-17.22,-20.67,13.08,17.39,20.03,41.121643
14.6832,6.58,24.72,-0.71,12.82,18.24,21.57,6.6970193
-50.210175,-23.32,-9.39,-37.55,5.08,-17,-30.46,23.0709886
7.2703,6.88,18.26,22.49,8.04,-17.19,-32.59,21.1620379
-46.4856375,-23.31,-9.49,-37.69,4.4,-17.1,-30.21,22.987836
-11.449975,13.06,18.44,18.98,6.05,-17.06,-31.16,22.6273861
216.422275,0.93,26.11,4.91,5.33,-16.95,-30.54,23.3305915
72.538575,-9.26,-5.65,-39.97,11.02,17.2,20.97,41.1114875
