model,seed,AR,FAD,Max,Min,Std,T1,T2,TS,SI
1_dqn,0,361.49584319319314,16.740566604562872,660.6833999999999,-213.63298749999984,0.476446395694536,58.2,58.2,48.5,10.898741691666666
1_ddqn,0,69.4101017142142,16.346601027073,698.6563124999998,-219.87717499999985,0.19830718069411724,1.6,1.6,0.5,2.0772682166666665
1_double_drqn,0,155.66806336336333,16.45905974684895,649.0236,-181.2525,0.3234860871641067,13.6,13.6,12.6,4.483150054166667
1_dueling_ddqn,0,121.2600977102102,15.70620895615161,834.0349874999995,-211.12292499999984,0.19938111123681065,5.5,5.5,4.2,3.6468573166666665
2_dqn,0,360.13631356356365,14.90419456423215,1309.1141000000002,-301.0947000000002,0.2595391509306373,0.0,41.4,0.9,10.2420747375
2_ddqn,0,366.3480508633634,8.997563334744685,2085.883200000001,-229.5138750000004,0.17452646843480793,20.8,6.9,8.4,11.688890179166664
2_double_drqn,0,313.99927956706705,12.812666100302957,1194.987525,-106.519,0.1884932797935585,0.7,5.1,1.4,10.22095695
2_dueling_ddqn,0,477.26245250250247,10.910545742027583,1597.4364374999996,-264.52407500000015,0.20430210930175044,36.0,5.0,25.4,11.108006304166663
SCA_dqn,0,2265.8764513013016,0.44671248493482985,2580.657875000002,15.07889999999999,0.06204563119055708,99.0,98.7,98.7,76.57654691666669
SC_ddqn,0,857.5949366866868,14.837291195654009,1757.1105499999999,-114.63374999999999,0.18874530857682512,22.0,67.7,21.8,8.488671020833333
SCA_ddqn,0,1871.2351794919923,4.523479598145794,2340.9634000000015,-15.21982499999999,0.09600182530508962,95.1,97.6,95.0,50.764220067857146
SCA_double_drqn,0,2058.1689320570576,1.5255571953579063,2731.183600000001,9.315624999999992,0.17001279347059195,97.5,83.2,83.1,72.08230072500002
SCA_gru,0,788.4450361486486,15.225048936691808,2150.621574999999,-659.4945000000001,0.24254320532377074,39.7,64.9,28.8,17.755365437499997
SCA_dueling_ddqn,0,1983.29092743994,2.2017772365023482,2741.486500000002,-27.654825,0.1638553771528472,91.2,89.9,88.6,37.25228430416668
qmix,0,394.6113431556556,19.06699150183467,1400.1757124999995,-248.14498750000024,0.22886007439714268,29.6,16.6,9.1,10.2471296125
vdn,0,897.7118413538537,9.6703297666782,1984.5998250000007,-78.56092500000005,0.17708118404139928,53.1,64.6,40.8,23.541667070833334
vdn_noscale,0,467.89990560560545,16.478218235406768,1598.1663499999995,-302.9582000000004,0.31919652071633603,36.0,30.7,15.4,8.256289691666666
iql,0,418.10197767767767,8.378056346596853,1290.4572999999996,-366.9010875,0.2199354711215319,14.3,11.6,1.3,11.683333900000001
